objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Ra","12","0","","0","1","0","0","0","0","0","0","0","3","","","","","","194873","7.32062","7.49518","2.346","185","20317","thing","Ra","2","5","60","60","45","1999","2,3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Railways of the World: The Card Game","68228","0","","0","1","0","0","0","0","0","0","0","3","","","","","","66180985","5.89151","6.68287","2.2045","3332","1450","thing","Railways of the World: The Card Game","2","4","60","60","30","2010","2,3,4","3","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Roll for the Galaxy","132531","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","84342099","7.47421","7.62287","2.7764","118","36402","thing","Roll for the Galaxy","2","5","45","45","45","2014","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Sagrada","199561","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","81366290","7.35114","7.49708","1.9126","174","55503","thing","Sagrada","1","4","45","45","30","2017","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"San Juan","8217","0","1","0","1","1","0","0","0","0","0","0","3","","","","","","7668399","7.08569","7.23837","2.2861","342","25223","thing","San Juan","2","4","60","60","45","2004","2,3,4","3","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"T-Rex","174","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194878","5.49521","5.49004","1.9048","20320","638","thing","T-Rex","3","5","45","45","45","1999","2,3,4,5","3,4","","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tak","197405","0","3","0","1","0","0","0","0","0","0","0","3","","","","","","79096461","6.62996","7.59727","2.4853","914","4997","thing","Tak","2","2","60","60","20","2017","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"TAMSK","108","0","","0","1","0","0","0","0","0","0","0","3","","","","","","80657563","6.02998","6.76431","2.2866","2537","2096","thing","TAMSK","2","2","20","20","20","1998","2","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tantrix","1038","0","","0","1","1","0","0","0","0","0","0","3","","","","","","194879","5.91529","6.34815","2.2152","3177","3881","thing","Tantrix","1","6","30","30","30","1991","1,2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tichu","215","8","","0","1","0","0","0","0","0","0","0","3","","","","","","194880","7.30335","7.57196","2.3362","199","22642","thing","Tichu","4","4","60","60","60","1991","4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Ticket to Ride: Märklin","21348","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668323","7.05368","7.40761","2.2432","375","11438","thing","Ticket to Ride: Märklin","2","5","60","60","30","2006","2,3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Tigris & Euphrates","42","0","","0","1","0","0","0","0","0","0","0","3","","","","","","7668362","7.52782","7.70329","3.5028","100","30219","thing","Tigris & Euphrates","2","4","90","90","90","1997","2,3,4","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
